X,minvr
0,8.80E-07
0.02,9.02E-07
0.04,9.25E-07
0.06,9.49E-07
0.08,9.74E-07
0.1,1.00E-06
0.12,1.03E-06
0.14,1.06E-06
0.16,1.09E-06
0.18,1.12E-06
0.2,1.15E-06
0.22,1.19E-06
0.24,1.22E-06
0.26,1.26E-06
0.28,1.30E-06
0.3,1.35E-06
0.32,1.39E-06
0.34,1.44E-06
0.36,1.49E-06
0.38,1.55E-06
0.4,1.61E-06
0.42,1.67E-06
0.44,1.74E-06
0.46,1.81E-06
0.48,1.89E-06
0.5,1.97E-06
0.52,2.07E-06
0.54,2.17E-06
0.56,2.28E-06
0.58,2.40E-06
0.6,2.53E-06
0.62,2.68E-06
0.64,2.84E-06
0.66,3.02E-06
0.68,3.23E-06
0.7,3.46E-06
0.72,3.73E-06
0.74,4.03E-06
0.76,4.39E-06
0.78,4.82E-06
0.8,5.32E-06
